id,demand
0:0:3,0.0
0:0:4,0.0
0:0:5,0.0
0:0:6,0.0
0:1:0,0.0
0:1:1,0.0
0:1:2,0.0
0:1:6,0.0
0:1:7,0.0
0:2:0,0.0
0:2:1,0.0
0:2:6,0.0
0:3:4,0.0
0:3:6,0.0
0:3:7,0.0
0:4:2,0.0
0:4:3,0.0
0:4:7,0.0
0:6:3,0.0
0:6:7,0.0
0:7:0,0.0
0:7:1,0.0
0:7:7,0.0
1:0:2,0.0
1:0:7,0.0
1:1:5,0.0
1:2:0,0.0
1:2:2,0.0
1:2:5,0.0
1:2:7,0.0
1:3:0,0.0
1:3:2,0.0
1:3:3,0.0
1:3:5,0.0
1:3:7,0.0
1:4:7,0.0
1:5:6,0.0
1:5:7,0.0
1:6:0,0.0
1:6:1,0.0
1:6:3,0.0
1:6:5,0.0
1:6:6,0.0
1:7:3,0.0
1:7:5,0.0
1:7:6,0.0
1:7:7,0.0
2:0:1,0.0
2:0:5,0.0
2:0:7,0.0
2:1:2,0.0
2:1:7,0.0
2:2:1,0.0
2:2:4,0.0
2:3:0,0.0
2:3:6,0.0
2:4:1,0.0
2:4:3,0.0
2:4:6,0.0
2:5:2,0.0
2:5:7,0.0
2:6:3,0.0
2:6:5,0.0
2:6:7,0.0
2:7:0,0.0
2:7:1,0.0
2:7:5,0.0
2:7:7,0.0
3:0:0,0.0
3:0:3,0.0
3:0:5,0.0
3:0:6,0.0
3:1:0,0.0
3:1:3,0.0
3:1:4,0.0
3:1:5,0.0
3:1:7,0.0
3:2:3,0.0
3:2:5,0.0
3:3:3,0.0
3:4:0,0.0
3:4:4,0.0
3:5:5,0.0
3:5:6,0.0
3:6:0,0.0
3:6:1,0.0
3:6:4,0.0
3:6:5,0.0
3:6:7,0.0
3:7:0,0.0
3:7:1,0.0
4:0:0,0.0
4:0:2,0.0
4:1:0,0.0
4:1:5,0.0
4:2:2,0.0
4:2:5,0.0
4:3:0,0.0
4:3:7,0.0
4:4:1,0.0
4:4:3,0.0
4:4:6,0.0
4:5:0,0.0
4:5:1,0.0
4:5:4,0.0
4:5:5,0.0
4:6:1,0.0
4:6:2,0.0
4:6:3,0.0
4:6:4,0.0
4:7:1,0.0
4:7:2,0.0
4:7:3,0.0
4:7:4,0.0
4:7:5,0.0
5:0:0,0.0
5:0:7,0.0
5:1:0,0.0
5:1:1,0.0
5:1:3,0.0
5:1:4,0.0
5:1:5,0.0
5:1:6,0.0
5:1:7,0.0
5:2:3,0.0
5:2:6,0.0
5:2:7,0.0
5:3:3,0.0
5:3:6,0.0
5:4:1,0.0
5:4:6,0.0
5:5:2,0.0
5:5:3,0.0
5:5:5,0.0
5:6:0,0.0
5:6:1,0.0
5:6:2,0.0
5:6:6,0.0
5:7:0,0.0
5:7:3,0.0
5:7:5,0.0
5:7:6,0.0
6:0:0,0.0
6:1:3,0.0
6:1:4,0.0
6:1:7,0.0
6:2:1,0.0
6:2:3,0.0
6:2:7,0.0
6:3:1,0.0
6:3:2,0.0
6:3:3,0.0
6:3:5,0.0
6:3:6,0.0
6:3:7,0.0
6:4:0,0.0
6:4:5,0.0
6:4:6,0.0
6:5:0,0.0
6:5:2,0.0
6:5:3,0.0
6:5:4,0.0
6:5:5,0.0
6:6:3,0.0
6:6:5,0.0
6:6:6,0.0
6:7:2,0.0
6:7:3,0.0
6:7:5,0.0
6:7:6,0.0
7:1:0,0.0
7:1:6,0.0
7:1:7,0.0
7:2:1,0.0
7:2:2,0.0
7:2:5,0.0
7:3:0,0.0
7:3:3,0.0
7:3:4,0.0
7:3:7,0.0
7:4:2,0.0
7:4:3,0.0
7:5:0,0.0
7:5:1,0.0
7:5:4,0.0
7:5:7,0.0
7:6:1,0.0
7:6:2,0.0
7:6:3,0.0
7:6:7,0.0
7:7:1,0.0
7:7:3,0.0
7:7:7,0.0
8:0:3,152.03769070025737
8:0:4,160.74654736179718
8:0:6,0.0
8:1:1,0.0
8:1:2,26.338744428759128
8:1:3,15.273877405597887
8:1:4,0.0
8:1:5,13.057050615817388
8:2:4,72.43380908090876
8:2:5,0.0
8:3:1,0.0
8:3:2,7.004430054422301
8:3:5,0.0
8:3:7,5.625963026936461
8:4:2,0.0
8:4:3,0.0
8:4:4,0.0
8:4:5,16.791977239033713
8:4:7,0.0
8:5:0,0.0
8:5:4,0.0
8:5:6,0.0
8:6:2,0.0
8:6:3,0.0
8:6:4,0.0
8:6:7,0.0
8:7:2,0.0
8:7:4,0.0
9:0:5,209.07784733703647
9:1:0,0.0
9:1:3,193.9325709660652
9:1:5,197.4906020354142
9:1:6,86.19841883827803
9:2:2,0.0
9:2:5,104.72675741227113
9:3:6,94.27926351963742
9:4:7,45.19354792025706
9:5:1,0.0
9:5:2,0.0
9:5:4,0.0
9:5:5,5.886111676260498
9:6:1,0.0
9:6:5,0.0
9:6:6,63.61131943071359
9:6:7,16.603023612041852
9:7:2,0.0
9:7:5,0.0
9:7:6,0.0
9:7:7,2.5905359976295586
10:0:0,0.0
10:0:1,0.0
10:0:2,42.423079354132824
10:1:1,0.0
10:1:5,370.57679782348214
10:2:2,7.940162704544491
10:2:3,234.5035484385603
10:2:4,418.7527806763587
10:2:5,203.95329983094416
10:2:7,252.3996224732541
10:3:2,68.5039063138488
10:3:7,171.09795548178909
10:4:7,60.610756781710734
10:5:2,0.0
10:5:5,2.214211596424775
10:5:6,37.97417209211562
10:5:7,54.47734390692494
10:6:5,0.0
10:6:7,25.116880358587423
10:7:1,0.0
11:0:0,0.0
11:0:2,0.0
11:0:7,109.26904503845844
11:1:2,132.37019424165055
11:1:3,188.25481607954998
11:1:4,198.68757755067327
11:2:0,0.0
11:2:1,0.0
11:2:7,123.8326943934494
11:3:2,0.0
11:4:1,0.0
11:4:7,11.606000153729383
11:5:5,0.0
11:5:6,0.0
11:6:0,0.0
11:6:1,0.0
11:6:2,0.0
11:6:5,0.0
11:7:0,0.0
11:7:1,0.0
11:7:4,0.0
11:7:5,0.0
11:7:6,0.0
12:0:2,0.0
12:0:3,213.03150776567782
12:0:7,96.38559119905403
12:1:0,0.0
12:1:2,22.208071372417635
12:1:3,82.08490614084076
12:1:4,79.11454998813815
12:2:0,0.0
12:2:4,180.45407384250075
12:2:5,114.51971208574287
12:2:7,43.2508202167096
12:3:0,0.0
12:3:4,48.60668454112056
12:3:5,41.02189567889218
12:3:6,38.3309558175265
12:3:7,60.61549795246492
12:4:7,0.0
12:5:2,0.0
12:5:3,0.0
12:5:4,0.0
12:5:5,0.0
12:5:6,0.0
12:6:7,33.43963350717104
12:7:0,0.0
12:7:1,0.0
12:7:5,0.0
13:0:0,0.0
13:0:3,152.93324624793104
13:1:6,69.54892199317919
13:1:7,50.98168339667018
13:2:1,0.0
13:2:3,90.31682579660537
13:2:4,89.2149603638627
13:2:7,77.57558105716907
13:3:0,0.0
13:4:1,0.0
13:4:2,0.0
13:4:3,51.7529059519793
13:4:6,20.44734202694235
13:4:7,0.0
13:5:2,0.0
13:5:4,0.0
13:5:6,0.0
13:5:7,17.397504385864522
13:6:1,0.0
13:6:4,0.0
13:6:5,0.0
13:7:0,0.0
13:7:4,0.0
14:1:1,0.0
14:1:2,0.0
14:1:4,8.460995434589677
14:1:6,100.60116919932307
14:1:7,0.0
14:3:5,3.4274727843221626
14:4:1,0.0
14:4:2,0.0
14:4:7,0.0
14:5:0,0.0
14:5:2,0.0
14:5:5,0.0
14:5:6,0.0
14:5:7,0.0
14:6:4,0.0
14:7:0,0.0
14:7:4,0.0
14:7:6,0.0
15:0:0,0.0
15:0:2,5.879217113620143
15:1:2,0.0
15:1:7,25.475853267728326
15:2:4,0.0
15:2:7,29.478337542367626
15:3:4,3.482685866819338
15:3:5,61.192996184086496
15:4:6,22.260931962919585
15:5:1,0.0
15:5:2,0.0
15:5:4,0.0
15:6:1,0.0
15:6:2,0.0
15:6:6,0.0
15:6:7,0.0
15:7:2,0.0
16:0:4,38.04851371062114
16:0:6,164.9664731359926
16:0:7,52.719962517057866
16:2:1,0.0
16:2:3,49.91919359678968
16:2:4,0.0
16:2:7,0.0
16:3:0,0.0
16:3:2,0.0
16:3:3,1.5614173393769306
16:3:6,185.80041608657166
16:3:7,37.64135548627337
16:4:5,39.3929101805129
16:4:7,0.0
16:5:3,0.0
16:5:6,67.79029150809674
16:5:7,0.0
16:6:2,0.0
16:6:3,0.0
16:6:4,0.0
16:7:2,0.0
16:7:3,0.0
17:0:4,49.47936404245729
17:0:7,55.363869938746575
17:1:0,0.0
17:1:1,0.0
17:1:7,124.9663807884881
17:2:3,15.699283099732838
17:2:4,0.0
17:2:5,218.75972278777817
17:2:7,22.927990184202372
17:3:0,0.0
17:3:4,13.761747146117159
17:3:5,145.1902880807238
17:4:0,0.0
17:4:3,0.0
17:4:6,168.07014128813535
17:4:7,0.0
17:5:0,0.0
17:5:4,0.0
17:5:5,50.24624805034773
17:5:7,0.0
17:6:6,0.0
17:7:0,0.0
17:7:1,0.0
17:7:3,0.0
17:7:5,0.0
17:7:6,0.0
18:0:4,169.19047496355188
18:0:5,451.19352233074505
18:1:7,269.00635491220237
18:2:0,0.0
18:3:2,0.0
18:3:3,9.707587250588404
18:3:5,248.8821608747212
18:3:7,97.16064158869585
18:4:0,0.0
18:4:1,0.0
18:4:4,22.105742458455552
18:5:2,0.0
18:5:4,0.0
18:5:7,17.897831581105947
18:6:0,0.0
18:6:3,0.0
18:6:6,26.571548831202108
18:6:7,23.115721744285565
18:7:7,0.25296652097767947
19:0:7,287.30111163887796
19:1:2,50.58574208918253
19:1:5,441.7713416655588
19:1:6,1246.0387597608037
19:2:3,73.52248098882319
19:2:4,50.096501046795765
19:2:7,220.62968925976247
19:3:0,0.0
19:3:1,0.0
19:3:2,0.0
19:3:3,0.0
19:3:4,80.93334437983776
19:3:5,363.20928530598985
19:4:1,0.0
19:4:6,447.5311803783884
19:6:0,0.0
19:6:3,0.0
